id,ticker,company,price,change,signal,scraped_at,trade_date,volume
9944deb0-3b55-4e47-9af5-2cc94d642777,NB,Nigerian Breweries Plc,₦86.95,-6.51%,SELL @ 86.95,2026-05-17T10:42:42.742056,2026-05-17,2500000
402c7b3f-85d7-4ac3-b24d-e0d3bef405ae,FIRSTHOLDCO,First HoldCo Plc,₦70.00,-2.51%,SELL @ 70.0,2026-05-17T10:42:42.742056,2026-05-17,16000000
1a13094e-b14a-4dae-a1b3-142222eb5be3,STANBIC,Stanbic IBTC Holdings PLC,₦163.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,620000
93c34383-4f1d-423b-9264-b9fcccfdf2bb,TRANSCOHOT,Transcorp Hotels Plc,₦223.30,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,200000
8ee2d520-44aa-412e-bc7d-1541dba532b4,UBA,United Bank for Africa Plc,₦44.00,+0.69%,HOLD @ 44.0,2026-05-17T10:42:42.742056,2026-05-17,18000000
fa671e7c-3770-4379-889f-b83c1f630f7d,OKOMUOIL,The Okomu Oil Palm Co Plc,"₦1,750.00",+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,95000
166d6d9a-a10d-442f-a436-e1118dc4e026,ACCESSCORP,Access Holdings Plc,₦25.75,+3.00%,BUY @ 25.75,2026-05-17T10:42:42.742056,2026-05-17,25000000
1f448368-5a37-403f-9b86-f1314582ba0d,ETI,Ecobank Transnational Inc,₦97.40,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,5000000
ea60f83b-35f3-4c18-967d-993afe10ca48,WEMABANK,Wema Bank PLC,₦33.00,+1.54%,BUY @ 33.0,2026-05-17T10:42:42.742056,2026-05-17,8000000
decb15d4-ab6d-4036-881f-dac96e08953a,FIDELITYBK,Fidelity Bank Plc,₦22.90,+2.69%,BUY @ 22.9,2026-05-17T10:42:42.742056,2026-05-17,22000000
1a017f42-3e88-4c66-a5ed-b539ad103a36,GUINNESS,Guinness Nigeria Plc,₦402.60,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,180000
d678eb07-fb82-4daa-bd25-70f779867376,DANGSUGAR,Dangote Sugar Refinery Plc,₦91.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,3000000
f2ed5d29-0142-4f6c-b0a3-f32f051480ca,OANDO,Oando PLC,₦47.00,+2.84%,BUY @ 47.0,2026-05-17T10:42:42.742056,2026-05-17,4000000
726349c5-b653-4b97-a51a-e69881eb1e0b,UNILEVER,Unilever Nigeria Plc,₦170.00,-1.16%,SELL @ 170.0,2026-05-17T10:42:42.742056,2026-05-17,500000
f8b15a80-f0d8-4d8d-a75d-b242287731a0,FCMB,FCMB Group Plc,₦11.80,+0.85%,HOLD @ 11.8,2026-05-17T10:42:42.742056,2026-05-17,12000000
edbda773-e34a-45d7-922c-33c851ece59f,TRANSCORP,Transnational Corporation Plc,₦45.00,+4.05%,BUY @ 45.0,2026-05-17T10:42:42.742056,2026-05-17,5000000
a033fda7-1a8a-4419-bfda-3c8bfaeeb427,JBERGER,Julius Berger Nigeria Plc,₦315.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,120000
7e91f800-6ea2-4d18-a79f-f9a1df955a16,JAIZBANK,Jaiz Bank Plc,₦9.00,+1.67%,BUY @ 9.0,2026-05-17T10:42:42.742056,2026-05-17,6000000
e6b51397-cb48-49c4-909e-8d13e3b6b397,CUSTODIAN,Custodian Investment Plc,₦81.25,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,400000
3966b8d9-2bdc-41ce-a0ea-455e5cb30f8d,NASCON,Nascon Allied Industries Plc,₦222.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,250000
c63daad4-5e2e-45d2-a253-b469740adddb,STERLINGNG,Sterling Financial Holdings Plc,₦7.80,-0.64%,HOLD @ 7.8,2026-05-17T10:42:42.742056,2026-05-17,10000000
0c18cac5-b504-4632-ba95-ebd55c6e678c,NAHCO,Nigerian Aviation Handling Co Plc,₦205.00,-5.53%,SELL @ 205.0,2026-05-17T10:42:42.742056,2026-05-17,300000
6c7d1a98-a310-4aff-8b45-2714161eb731,NGXGROUP,The Nigerian Exchange Group Plc,₦151.50,+0.33%,HOLD @ 151.5,2026-05-17T10:42:42.742056,2026-05-17,350000
4d346cb7-e3bc-4e48-abc6-edae7474de89,UCAP,United Capital Plc,₦18.95,+4.99%,BUY @ 18.95,2026-05-17T10:42:42.742056,2026-05-17,2000000
d5bf5d31-3f08-4761-bef3-4b2c06eb1b10,PZ,PZ Cussons Nigeria Plc,₦105.30,-3.39%,SELL @ 105.3,2026-05-17T10:42:42.742056,2026-05-17,600000
14dc3026-12d8-489e-9366-3e3d658a8d8a,BETAGLAS,Beta Glass Plc,₦570.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,50000
b8ecbac0-c0f7-43a4-8c12-85408fe1a4bc,UACN,UAC of Nigeria PLC,₦199.95,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,400000
7bb54c01-d088-4807-bbad-24b26c98dae8,FIDSON,Fidson Healthcare Plc,₦136.50,+9.55%,BUY @ 136.5,2026-05-17T10:42:42.742056,2026-05-17,350000
d49531a2-81bc-495e-88d7-c7e568f37b53,TOTAL,TotalEnergies Marketing Nigeria Plc,₦640.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,120000
064a396b-e9d0-41c0-966b-7788275f436c,SKYAVN,Skyway Aviation Handling Co Plc,₦142.95,+9.54%,BUY @ 142.95,2026-05-17T10:42:42.742056,2026-05-17,200000
68081639-ed7d-4e87-b6cd-c50887f31de3,ETRANZACT,eTranzact International Plc,₦18.50,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,1500000
e6f508ec-5b8f-4851-9aa3-bc1c326a9eb7,VITAFOAM,Vitafoam Nigeria Plc,₦194.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,300000
7cdd7a60-ef4f-429a-93ad-af2d70c7d4b4,HONYFLOUR,Honeywell Flour Mills Plc,₦18.90,+4.13%,BUY @ 18.9,2026-05-17T10:42:42.742056,2026-05-17,2000000
79951b9d-f5ee-4a34-95b0-237ac4358639,NEM,NEM Insurance Plc,₦30.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,800000
926c54d7-ae5b-405d-be3b-423d1955abd7,CADBURY,Cadbury Nigeria Plc,₦70.90,-2.14%,SELL @ 70.9,2026-05-17T10:42:42.742056,2026-05-17,400000
2a8c29a0-744c-4633-82c3-c7c112084e84,AIICO,AIICO Insurance Plc,₦4.76,+5.78%,BUY @ 4.76,2026-05-17T10:42:42.742056,2026-05-17,3000000
36feeab7-accc-4e7a-9f22-90d272e816a3,CONOIL,Conoil Plc,₦194.00,+0.00%,NO DATA,2026-05-17T10:42:42.742056,2026-05-17,380000
